MOH,Age,Religion,ethnicity,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13
Bambaradeniya,58,1,1,1,1,1,3,1,2,2,1,2,2,2,2,1
Gngawatakorale,59,1,1,1,1,1,1,1,2,2,2,1,2,1,2,2
Manikkhinna,58,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2
gangaihala korale,59,1,1,1,1,1,1,2,3,2,1,3,1,2,1,1
gangaihala korale,58,1,1,1,1,3,3,1,2,2,1,1,3,2,2,3
Gampola,58,1,1,1,1,1,1,2,2,2,1,1,3,1,1,1
Udunuwara,58,1,1,1,2,1,1,2,1,2,2,1,2,2,1,2
Galagedara,58,1,1,2,1,1,1,1,2,2,1,2,2,2,1,2
Hatharaliyadda,61,1,1,3,2,1,1,2,2,2,1,1,2,2,2,2
Medadumbara,58,1,1,2,1,1,1,2,2,2,1,1,2,1,2,1
Medadumbara,59,1,1,2,2,1,1,3,1,2,1,1,2,2,2,2
Akurana,58,1,1,3,1,1,1,1,2,2,2,1,2,2,2,2
Galaha,58,1,1,2,2,1,1,1,1,2,1,2,2,2,2,2
Minipe,58,1,1,2,1,1,1,1,2,2,2,1,2,2,2,2
Minipe,58,1,1,1,1,1,1,1,2,2,1,3,2,2,2,2
Thalathuoya,59,1,1,1,1,1,1,3,2,2,2,1,1,1,2,2
Poojapitiya,61,1,1,1,1,1,1,2,2,2,1,1,2,2,2,1
Yatinuwara,58,1,1,1,1,1,1,2,2,2,1,1,1,1,1,3
Yatinuwara,59,1,1,1,1,1,1,3,1,2,1,1,3,1,2,1
Yatinuwara,58,1,1,2,1,1,1,1,2,2,1,2,2,2,2,1
